Lot URL,Lot #,Est. Retail Value,Sale Date,Year,Make,Model,Engine Type,Cylinders,VIN,Title Code,Odometer,Odometer Description,Damage Description,Current Bid,My Bid,Item Number,Sale Name
https://www.copart.com/lotDetail/53241164,53241164,"7,146 USD",Future,2007,NISSAN,XTERRA OFF,4.0L  6,6,5N1AN08WX7C523173,CERT OF TITLE-SALVAGE COLLISIO,"153,341 A",ACTUAL,ALL OVER,0 USD,0 USD,0,ME - WINDHAM
https://www.copart.com/lotDetail/54381544,54381544,"15,783 USD",Future,2004,MERCEDES-BENZ,SL 500,5.0L  8,8,WDBSK75F34F073843,CERT OF TITLE-SALVAGE COLLISIO,"30,316 E",EXEMPT,MECHANICAL,0 USD,0 USD,0,ME - WINDHAM
https://www.copart.com/lotDetail/54119164,54119164,"17,793 USD",Future,2022,TOYOTA,CAMRY SE,2.5L  4,4,4T1G11BK0NU058380,CERT OF TITLE-SALVAGE COLLISIO,"106,938 N",NOT ACTUAL,FRONT END,0 USD,0 USD,0,ME - WINDHAM
https://www.copart.com/lotDetail/52742434,52742434,"4,960 USD",Future,2003,DODGE,RAM 1500 S,5.7L  8,8,1D7HU18D23S310265,CERT OF TITLE-SALVAGE COLLISIO,"246,626 E",EXEMPT,SIDE,0 USD,0 USD,0,ME - WINDHAM
https://www.copart.com/lotDetail/53031004,53031004,"6,985 USD",Future,2015,DODGE,DART SE,2.0L  4,4,1C3CDFAA2FD181426,CERT OF TITLE-SALVAGE COLLISIO,"106,527 N",NOT ACTUAL,FRAME DAMAGE,0 USD,0 USD,0,ME - WINDHAM
https://www.copart.com/lotDetail/53037464,53037464,"19,368 USD",Future,2016,CHEVROLET,SILVERADO,4.3L  6,6,1GCNKNEH4GZ413167,CERT OF TITLE-SALVAGE COLLISIO,"47,551 A",ACTUAL,FRONT END,0 USD,0 USD,0,ME - WINDHAM
https://www.copart.com/lotDetail/54537994,54537994,"10,179 USD",Future,2013,BUICK,VERANO,2.4L  4,4,1G4PS5SK6D4135739,CERT OF TITLE-SALVAGE COLLISIO,0 N,NOT ACTUAL,FRONT END,0 USD,0 USD,0,ME - WINDHAM
https://www.copart.com/lotDetail/53954754,53954754,"5,387 USD",Future,2009,HYUNDAI,SANTA FE S,3.3L  6,6,5NMSH73EX9H304399,CERT OF TITLE-SALVAGE COLLISIO,"190,038 E",EXEMPT,ROLLOVER,0 USD,0 USD,0,ME - WINDHAM
https://www.copart.com/lotDetail/53314334,53314334,"27,167 USD",Future,2020,HYUNDAI,PALISADE S,3.8L  6,6,KM8R4DHE6LU083526,CERT OF TITLE-SALVAGE COLLISIO,"78,553 N",NOT ACTUAL,FRONT END,0 USD,0 USD,0,ME - WINDHAM
https://www.copart.com/lotDetail/49359604,49359604,"18,149 USD",Future,2022,MITSUBISHI,ECLIPSE CR,1.5L  4,4,JA4ATWAA5NZ043235,CERT OF TITLE-SALVAGE COLLISIO,"59,151 A",ACTUAL,UNDERCARRIAGE,0 USD,0 USD,0,ME - WINDHAM
https://www.copart.com/lotDetail/51984684,51984684,"23,125 USD",Future,2019,TOYOTA,TACOMA DOU,3.5L  6,6,3TMCZ5AN7KM218785,CERT OF TITLE-SALVAGE COLLISIO,"110,730 A",ACTUAL,FRONT END,0 USD,0 USD,0,ME - WINDHAM
https://www.copart.com/lotDetail/52473754,52473754,"11,575 USD",Future,2009,TOYOTA,FJ CRUISER,4.0L  6,6,JTEBU11F59K062335,CERT OF TITLE-SALVAGE COLLISIO,"167,940 A",ACTUAL,SIDE,0 USD,0 USD,0,ME - WINDHAM
https://www.copart.com/lotDetail/53435614,53435614,"5,209 USD",Future,2010,SUBARU,FORESTER 2,2.5L  4,4,JF2SH6CC5AH780415,CERT OF TITLE-SALVAGE COLLISIO,"192,635 E",EXEMPT,SIDE,0 USD,0 USD,0,ME - WINDHAM
https://www.copart.com/lotDetail/52165994,52165994,"8,906 USD",Future,2017,NISSAN,SENTRA S,1.8L  4,4,3N1AB7AP0HY353510,CERT OF TITLE-SALVAGE COLLISIO,"103,508 N",NOT ACTUAL,FRONT END,0 USD,0 USD,0,ME - WINDHAM
https://www.copart.com/lotDetail/52539414,52539414,"16,696 USD",Future,2019,TOYOTA,COROLLA L,1.8L  4,4,2T1BURHE7KC125586,CERT OF TITLE-SALVAGE COLLISIO,0 N,NOT ACTUAL,ALL OVER,0 USD,0 USD,0,ME - WINDHAM
https://www.copart.com/lotDetail/43398674,43398674,"11,894 USD",Future,2018,HYUNDAI,TUCSON SE,2.0L  4,4,KM8J2CA45JU779791,CERT OF TITLE-SALVAGE COLLISIO,"141,668 A",ACTUAL,FRONT END,0 USD,0 USD,0,ME - WINDHAM
https://www.copart.com/lotDetail/53925124,53925124,"18,210 USD",Future,2016,TOYOTA,PRIUS,1.8L  4,4,JTDKARFUXG3017952,CERT OF TITLE-SALVAGE COLLISIO,"42,469 N",NOT ACTUAL,ALL OVER,125 USD,0 USD,0,ME - WINDHAM
